Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Logistic Regression,0.7686991998481926,0.4532075778518579,0.41362422083704364,0.4325121241513094,0.7063607350984751,0.36839861887134334
Decision Tree,0.6968752964989405,0.39003283755070506,0.7491837340457109,0.5129950966692919,0.7550908292603097,0.37927765650610096
Random Forest,0.7122774281286568,0.38660066323833325,0.5969130305728703,0.4692704839133098,0.753292781088262,0.40478558945380355
