Model,Precision@10%,Recall@10%,Lift@10%,Top-K rows
W04 Baseline,0.44377668828087935,0.20822202433956663,2.082483690524358,6323
Random Forest,0.43159892456112603,0.20250816265954288,2.0253378444194485,6323
Decision Tree,0.4254309663134588,0.19961412882160878,1.9963938444442346,6323
Logistic Regression,0.3964890083820971,0.18603443158207184,1.8605796907143852,6323
